date,portfolio_value,daily_return,cumulative_return,drawdown
2025-01-06,100000.0,,0.0,0.0
2025-01-07,100000.0,0.0,0.0,0.0
2025-01-08,100000.0,0.0,0.0,0.0
2025-01-10,100000.0,0.0,0.0,0.0
2025-01-13,100000.0,0.0,0.0,0.0
2025-01-14,100000.0,0.0,0.0,0.0
2025-01-15,100000.0,0.0,0.0,0.0
2025-01-16,100000.0,0.0,0.0,0.0
2025-01-17,100000.0,0.0,0.0,0.0
2025-01-21,100000.0,0.0,0.0,0.0
2025-01-22,100000.0,0.0,0.0,0.0
2025-01-23,100000.0,0.0,0.0,0.0
2025-01-24,100000.0,0.0,0.0,0.0
2025-01-27,100000.0,0.0,0.0,0.0
2025-01-28,100000.0,0.0,0.0,0.0
2025-01-29,100000.0,0.0,0.0,0.0
2025-01-30,100000.0,0.0,0.0,0.0
2025-01-31,100000.0,0.0,0.0,0.0
2025-02-03,100000.0,0.0,0.0,0.0
2025-02-04,100000.0,0.0,0.0,0.0
2025-02-05,100000.0,0.0,0.0,0.0
2025-02-06,100000.0,0.0,0.0,0.0
2025-02-07,100000.0,0.0,0.0,0.0
2025-02-10,100000.0,0.0,0.0,0.0
2025-02-11,100000.0,0.0,0.0,0.0
2025-02-12,100000.0,0.0,0.0,0.0
2025-02-13,100000.0,0.0,0.0,0.0
2025-02-14,100000.0,0.0,0.0,0.0
2025-02-18,100000.0,0.0,0.0,0.0
2025-02-19,100000.0,0.0,0.0,0.0
2025-02-20,100000.0,0.0,0.0,0.0
2025-02-21,100000.0,0.0,0.0,0.0
2025-02-24,100000.0,0.0,0.0,0.0
2025-02-25,100000.0,0.0,0.0,0.0
2025-02-26,100000.0,0.0,0.0,0.0
2025-02-27,100000.0,0.0,0.0,0.0
2025-02-28,100000.0,0.0,0.0,0.0
2025-03-03,100000.0,0.0,0.0,0.0
2025-03-04,100000.0,0.0,0.0,0.0
2025-03-05,100000.0,0.0,0.0,0.0
2025-03-06,100000.0,0.0,0.0,0.0
2025-03-07,100000.0,0.0,0.0,0.0
2025-03-10,100000.0,0.0,0.0,0.0
2025-03-11,100000.0,0.0,0.0,0.0
2025-03-12,100000.0,0.0,0.0,0.0
2025-03-13,100000.0,0.0,0.0,0.0
2025-03-14,100000.0,0.0,0.0,0.0
2025-03-17,100000.0,0.0,0.0,0.0
2025-03-18,100000.0,0.0,0.0,0.0
2025-03-19,100000.0,0.0,0.0,0.0
2025-03-20,100000.0,0.0,0.0,0.0
2025-03-21,100000.0,0.0,0.0,0.0
2025-03-24,100000.0,0.0,0.0,0.0
2025-03-25,100000.0,0.0,0.0,0.0
2025-03-26,100000.0,0.0,0.0,0.0
2025-03-27,100000.0,0.0,0.0,0.0
2025-03-28,100000.0,0.0,0.0,0.0
2025-03-31,100000.0,0.0,0.0,0.0
2025-04-01,100000.0,0.0,0.0,0.0
2025-04-02,100000.0,0.0,0.0,0.0
2025-04-03,98517.36974603715,-0.014826302539628577,-0.014826302539628577,-0.014826302539628577
2025-04-04,92967.73543054643,-0.056331531483197694,-0.07032264569453572,-0.07032264569453572
2025-04-07,93611.16964227738,0.006921048563258259,-0.06388830357722619,-0.06388830357722619
2025-04-08,91985.69948846879,-0.01736406200264473,-0.08014300511531214,-0.08014300511531214
2025-04-09,104378.02999383988,0.13472018557541743,0.043780299938398715,0.0
2025-04-10,99332.88746912064,-0.048335291679839076,-0.006671125308793546,-0.048335291679839076
2025-04-11,100983.61482507768,0.016618135222034924,0.009836148250776722,-0.03252039887093616
2025-04-14,100844.84642297807,-0.0013741675056887503,0.008448464229780628,-0.0338498779012244
2025-04-15,100541.08475763383,-0.0030121684559878403,0.005410847576338362,-0.036760084822759165
2025-04-16,97190.17774469437,-0.03332873343287679,-0.028098222553056273,-0.06886365118760829
2025-04-17,96334.18062097611,-0.008807444780756013,-0.036658193790238824,-0.07706458316312825
2025-04-21,93115.53937799516,-0.03341120692814736,-0.0688446062200484,-0.10790096935638094
2025-04-22,95757.93947107377,0.028377649001763317,-0.04242060528926228,-0.08258529618996302
2025-04-23,98963.3151272017,0.03347373255766639,-0.010366848727982991,-0.051876001750155165
2025-04-24,102500.3053615767,0.03574041784906612,0.025003053615767046,-0.017989653879978418
2025-04-25,105139.63847620072,0.025749514650845073,0.05139638476200714,0.0
2025-04-28,104970.63273889603,-0.0016074407307662408,0.049706327388960414,-0.0016074407307662408
2025-04-29,105461.6468837935,0.004677633468389342,0.05461646883793492,0.0
